fecha,tasa_referencia,tasa_interbancaria,tamn,tipmn,spread_activo,spread_pasivo
2021-08,0.5,0.4879,10.6861,0.7632,10.19,0.26
2021-09,1.0,0.7745,10.4913,0.7803,9.49,-0.22
2021-10,1.5,1.2916,10.5577,0.8197,9.06,-0.68
2021-11,2.0,1.7181,10.7307,0.9177,8.73,-1.08
2021-12,2.5,2.2519,10.9868,1.0332,8.49,-1.47
2022-01,3.0,2.9861,11.1277,1.1216,8.13,-1.88
2022-02,3.5,3.3511,11.2939,1.3082,7.79,-2.19
2022-03,4.0,3.8782,11.5168,1.4668,7.52,-2.53
2022-04,4.5,4.4543,11.8497,1.5737,7.35,-2.93
2022-05,5.0,4.8926,12.1248,1.8519,7.12,-3.15
2022-06,5.5,5.2778,12.4933,2.0823,6.99,-3.42
2022-07,6.0,5.8918,12.6616,2.2897,6.66,-3.71
2022-08,6.5,6.2823,12.9406,2.4726,6.44,-4.03
2022-09,6.75,6.6726,13.3757,2.6123,6.63,-4.14
2022-10,7.0,6.9748,13.5935,2.7542,6.59,-4.25
2022-11,7.25,7.1999,13.926,2.9257,6.68,-4.32
2022-12,7.5,7.4533,14.2635,2.9706,6.76,-4.53
2023-01,7.75,7.6413,14.4623,3.1671,6.71,-4.58
2023-02,7.75,7.7612,14.7364,3.3196,6.99,-4.43
2023-03,7.75,7.7382,14.8803,3.4381,7.13,-4.31
2023-04,7.75,7.7459,15.1693,3.5837,7.42,-4.17
2023-05,7.75,7.746,15.2971,3.7155,7.55,-4.03
2023-06,7.75,7.7164,15.539,3.7597,7.79,-3.99
2023-07,7.75,7.7481,15.6423,3.8658,7.89,-3.88
2023-08,7.75,7.7452,15.7516,3.9045,8.0,-3.85
2023-09,7.5,7.6024,15.9513,3.963,8.45,-3.54
2023-10,7.25,7.2814,15.9116,3.9019,8.66,-3.35
2023-11,7.0,7.0889,15.876,3.7447,8.88,-3.26
2023-12,6.75,6.858,15.8642,3.5484,9.11,-3.2
2024-01,6.5,6.601,15.8087,3.4516,9.31,-3.05
2024-02,6.25,6.3599,15.7303,3.3383,9.48,-2.91
2024-03,6.25,6.2368,15.76,3.2448,9.51,-3.01
2024-04,6.0,6.0761,15.734,3.1577,9.73,-2.84
2024-05,5.75,5.8595,15.7542,3.0468,10.0,-2.7
2024-06,5.75,5.7409,15.6527,2.9473,9.9,-2.8
2024-07,5.75,5.7126,15.081,2.7852,9.33,-2.96
2024-08,5.5,5.5272,14.9261,2.6448,9.43,-2.86
2024-09,5.25,5.3487,14.7177,2.6053,9.47,-2.64
2024-10,5.25,5.2319,14.7445,2.561,9.49,-2.69
2024-11,5.0,5.0847,14.781,2.5237,9.78,-2.48
2024-12,5.0,4.946,14.8781,2.42,9.88,-2.58
2025-01,4.75,4.7349,14.9906,2.3587,10.24,-2.39
2025-02,4.75,4.7755,14.9064,2.3507,10.16,-2.4
2025-03,4.75,4.7203,14.7668,2.3426,10.02,-2.41
2025-04,4.75,4.7565,14.9607,2.2863,10.21,-2.46
2025-05,4.5,4.484,14.9519,2.2671,10.45,-2.23
2025-06,4.5,4.49889399603857,14.9807,2.2737,10.48,-2.23
2025-07,4.5,4.5,15.0445,2.1616,10.54,-2.34
2025-08,4.5,4.5079,15.149,2.1348,10.65,-2.37
2025-09,4.25,4.3685,15.3507,2.1383,11.1,-2.11
2025-10,4.25,4.25,15.5555,2.12,11.31,-2.13
2025-11,4.25,4.2478,15.7477,2.0993,11.5,-2.15
2025-12,4.25,4.2411,15.8871,1.9771,11.64,-2.27
